trajectory_cluster,source,class,vehicle_count,track_ids
0,roi_backup,bus,70,roi_239|roi_772|roi_937|roi_942|roi_1044|roi_1065|roi_1301|roi_1338|roi_1602|roi_1616|roi_1632|roi_2831|roi_2959|roi_3002|roi_3173|roi_3210|roi_3213|roi_3222|roi_3242|roi_3267|roi_3880|roi_3881|roi_3988|roi_4243|roi_4263|roi_4968|roi_4977|roi_4981|roi_5002|roi_5024|roi_5036|roi_5727|roi_6015|roi_6358|roi_6446|roi_6469|roi_6523|roi_6541|roi_6611|roi_6613|roi_6911|roi_6913|roi_6916|roi_7037|roi_7201|roi_7224|roi_7561|roi_7725|roi_7843|roi_7853|roi_7909|roi_8132|roi_8218|roi_8416|roi_8486|roi_8814|roi_8815|roi_8934|roi_9106|roi_9219|roi_9861|roi_9870|roi_9889|roi_10396|roi_10596|roi_10654|roi_10803|roi_10810|roi_11213|roi_11306
0,roi_backup,car,419,roi_76|roi_104|roi_111|roi_144|roi_158|roi_163|roi_201|roi_213|roi_238|roi_252|roi_273|roi_299|roi_369|roi_721|roi_781|roi_821|roi_879|roi_939|roi_944|roi_971|roi_988|roi_993|roi_1000|roi_1003|roi_1007|roi_1008|roi_1016|roi_1017|roi_1039|roi_1046|roi_1224|roi_1294|roi_1329|roi_1354|roi_1364|roi_1442|roi_1511|roi_1572|roi_1643|roi_1644|roi_1654|roi_1687|roi_1708|roi_1721|roi_1734|roi_1745|roi_1746|roi_1753|roi_1780|roi_1808|roi_1872|roi_1992|roi_2009|roi_2021|roi_2232|roi_2270|roi_2306|roi_2314|roi_2323|roi_2510|roi_2539|roi_2550|roi_2565|roi_2574|roi_2589|roi_2590|roi_2594|roi_2608|roi_2632|roi_2648|roi_2679|roi_2694|roi_2712|roi_2765|roi_2786|roi_2796|roi_2813|roi_2918|roi_2960|roi_3021|roi_3025|roi_3061|roi_3066|roi_3085|roi_3099|roi_3106|roi_3130|roi_3136|roi_3164|roi_3176|roi_3212|roi_3216|roi_3228|roi_3252|roi_3297|roi_3332|roi_3391|roi_3405|roi_3411|roi_3420|roi_3435|roi_3455|roi_3587|roi_3594|roi_3597|roi_3641|roi_3650|roi_3691|roi_3714|roi_3746|roi_3779|roi_3798|roi_3841|roi_3853|roi_3891|roi_3965|roi_3970|roi_3971|roi_3982|roi_4000|roi_4006|roi_4133|roi_4172|roi_4194|roi_4260|roi_4304|roi_4326|roi_4348|roi_4356|roi_4384|roi_4399|roi_4405|roi_4420|roi_4491|roi_4629|roi_4640|roi_4673|roi_4678|roi_4694|roi_4772|roi_4790|roi_4812|roi_4840|roi_4844|roi_4856|roi_4858|roi_4879|roi_4897|roi_4979|roi_4983|roi_4988|roi_5001|roi_5056|roi_5075|roi_5097|roi_5163|roi_5175|roi_5189|roi_5208|roi_5326|roi_5486|roi_5505|roi_5555|roi_5556|roi_5593|roi_5636|roi_5637|roi_5703|roi_5715|roi_5737|roi_5786|roi_5812|roi_5855|roi_5890|roi_5926|roi_5928|roi_5947|roi_6001|roi_6003|roi_6008|roi_6012|roi_6020|roi_6048|roi_6059|roi_6061|roi_6074|roi_6088|roi_6098|roi_6106|roi_6137|roi_6308|roi_6313|roi_6368|roi_6373|roi_6382|roi_6449|roi_6471|roi_6484|roi_6515|roi_6519|roi_6537|roi_6538|roi_6563|roi_6573|roi_6582|roi_6598|roi_6603|roi_6612|roi_6635|roi_6661|roi_6726|roi_6754|roi_6764|roi_6782|roi_6783|roi_6791|roi_6794|roi_6816|roi_6817|roi_6882|roi_6899|roi_6938|roi_6945|roi_6957|roi_6990|roi_7067|roi_7077|roi_7118|roi_7146|roi_7155|roi_7167|roi_7178|roi_7189|roi_7234|roi_7235|roi_7241|roi_7243|roi_7259|roi_7263|roi_7271|roi_7430|roi_7442|roi_7459|roi_7480|roi_7490|roi_7498|roi_7506|roi_7520|roi_7537|roi_7563|roi_7578|roi_7579|roi_7595|roi_7619|roi_7650|roi_7660|roi_7687|roi_7711|roi_7738|roi_7972|roi_8016|roi_8024|roi_8028|roi_8061|roi_8077|roi_8078|roi_8161|roi_8163|roi_8173|roi_8178|roi_8189|roi_8227|roi_8237|roi_8309|roi_8354|roi_8383|roi_8412|roi_8424|roi_8450|roi_8452|roi_8460|roi_8463|roi_8468|roi_8478|roi_8483|roi_8500|roi_8505|roi_8507|roi_8513|roi_8541|roi_8542|roi_8551|roi_8558|roi_8602|roi_8604|roi_8629|roi_8665|roi_8669|roi_8703|roi_8745|roi_8795|roi_8869|roi_8916|roi_8950|roi_8955|roi_8972|roi_8983|roi_8988|roi_8997|roi_9005|roi_9015|roi_9047|roi_9100|roi_9215|roi_9221|roi_9239|roi_9269|roi_9272|roi_9274|roi_9277|roi_9283|roi_9303|roi_9320|roi_9330|roi_9340|roi_9385|roi_9399|roi_9537|roi_9562|roi_9587|roi_9597|roi_9642|roi_9652|roi_9653|roi_9672|roi_9709|roi_9760|roi_9769|roi_9773|roi_9924|roi_9982|roi_10045|roi_10050|roi_10070|roi_10118|roi_10137|roi_10148|roi_10319|roi_10320|roi_10351|roi_10364|roi_10391|roi_10413|roi_10426|roi_10440|roi_10459|roi_10477|roi_10507|roi_10527|roi_10558|roi_10560|roi_10586|roi_10592|roi_10613|roi_10633|roi_10642|roi_10647|roi_10648|roi_10672|roi_10673|roi_10676|roi_10680|roi_10687|roi_10692|roi_10701|roi_10709|roi_10735|roi_10737|roi_10745|roi_10747|roi_10760|roi_10782|roi_10790|roi_10791|roi_10816|roi_10828|roi_10829|roi_10844|roi_10851|roi_10852|roi_10867|roi_10869|roi_10873|roi_10920|roi_10922|roi_10933|roi_10938|roi_11017|roi_11022|roi_11034|roi_11084|roi_11104|roi_11113|roi_11120|roi_11123|roi_11131|roi_11164|roi_11169|roi_11194|roi_11216|roi_11220|roi_11236|roi_11249|roi_11263|roi_11270|roi_11287|roi_11297|roi_11343|roi_11349
0,roi_backup,motorcycle,402,roi_17|roi_20|roi_24|roi_28|roi_29|roi_39|roi_47|roi_308|roi_313|roi_314|roi_330|roi_361|roi_368|roi_380|roi_383|roi_390|roi_396|roi_401|roi_403|roi_426|roi_439|roi_440|roi_449|roi_461|roi_465|roi_494|roi_544|roi_577|roi_586|roi_594|roi_613|roi_638|roi_644|roi_657|roi_692|roi_711|roi_744|roi_753|roi_828|roi_1084|roi_1085|roi_1096|roi_1108|roi_1120|roi_1137|roi_1142|roi_1145|roi_1146|roi_1155|roi_1164|roi_1166|roi_1199|roi_1201|roi_1208|roi_1211|roi_1217|roi_1229|roi_1232|roi_1233|roi_1238|roi_1246|roi_1252|roi_1268|roi_1270|roi_1271|roi_1284|roi_1324|roi_1336|roi_1352|roi_1371|roi_1377|roi_1379|roi_1385|roi_1395|roi_1401|roi_1451|roi_1483|roi_1500|roi_1505|roi_1506|roi_1520|roi_1525|roi_1548|roi_1550|roi_1560|roi_1567|roi_1580|roi_1581|roi_1584|roi_1604|roi_1677|roi_1686|roi_1716|roi_1743|roi_1744|roi_1804|roi_1829|roi_1836|roi_1889|roi_1920|roi_1943|roi_2000|roi_2017|roi_2034|roi_2071|roi_2088|roi_2229|roi_2261|roi_2316|roi_2381|roi_2392|roi_2448|roi_2456|roi_2458|roi_2459|roi_2461|roi_2465|roi_2469|roi_2526|roi_2629|roi_2653|roi_2687|roi_2701|roi_2737|roi_2754|roi_2770|roi_2776|roi_2858|roi_2865|roi_2870|roi_2906|roi_2934|roi_3033|roi_3043|roi_3112|roi_3412|roi_3464|roi_3466|roi_3469|roi_3473|roi_3474|roi_3482|roi_3492|roi_3496|roi_3523|roi_3554|roi_3559|roi_3566|roi_3583|roi_3584|roi_3604|roi_3737|roi_3742|roi_3748|roi_3774|roi_3794|roi_3825|roi_3848|roi_3875|roi_3940|roi_3941|roi_4055|roi_4057|roi_4063|roi_4070|roi_4071|roi_4072|roi_4073|roi_4074|roi_4086|roi_4090|roi_4099|roi_4108|roi_4111|roi_4112|roi_4137|roi_4141|roi_4142|roi_4154|roi_4156|roi_4161|roi_4163|roi_4174|roi_4184|roi_4189|roi_4291|roi_4355|roi_4413|roi_4424|roi_4443|roi_4595|roi_4596|roi_4623|roi_4630|roi_4714|roi_4725|roi_4742|roi_4833|roi_4847|roi_4906|roi_4929|roi_5343|roi_5425|roi_5432|roi_5434|roi_5454|roi_5465|roi_5475|roi_5485|roi_5496|roi_5660|roi_5779|roi_5785|roi_5787|roi_5799|roi_5801|roi_5804|roi_5833|roi_5870|roi_5883|roi_5887|roi_5888|roi_5895|roi_5907|roi_5916|roi_5920|roi_5924|roi_5965|roi_5981|roi_5987|roi_6260|roi_6268|roi_6367|roi_6429|roi_6480|roi_6579|roi_6599|roi_6644|roi_6776|roi_6822|roi_7041|roi_7072|roi_7086|roi_7096|roi_7121|roi_7200|roi_7207|roi_7257|roi_7318|roi_7362|roi_7376|roi_7381|roi_7412|roi_7424|roi_7443|roi_7449|roi_7548|roi_7591|roi_7611|roi_7638|roi_7651|roi_7665|roi_7671|roi_7684|roi_7734|roi_7747|roi_7774|roi_7785|roi_7850|roi_7958|roi_8007|roi_8013|roi_8021|roi_8030|roi_8154|roi_8157|roi_8216|roi_8223|roi_8250|roi_8261|roi_8289|roi_8292|roi_8306|roi_8346|roi_8348|roi_8351|roi_8356|roi_8367|roi_8382|roi_8443|roi_8464|roi_8721|roi_8789|roi_8802|roi_8864|roi_8909|roi_8953|roi_8954|roi_8968|roi_8985|roi_9118|roi_9161|roi_9174|roi_9187|roi_9199|roi_9205|roi_9251|roi_9379|roi_9441|roi_9446|roi_9450|roi_9465|roi_9478|roi_9488|roi_9500|roi_9510|roi_9513|roi_9514|roi_9519|roi_9528|roi_9548|roi_9557|roi_9565|roi_9579|roi_9580|roi_9586|roi_9623|roi_9624|roi_9625|roi_9646|roi_9649|roi_9654|roi_9702|roi_9751|roi_9794|roi_9845|roi_9848|roi_9899|roi_9908|roi_10019|roi_10021|roi_10060|roi_10163|roi_10167|roi_10168|roi_10172|roi_10181|roi_10184|roi_10194|roi_10195|roi_10205|roi_10208|roi_10209|roi_10224|roi_10226|roi_10252|roi_10259|roi_10267|roi_10268|roi_10277|roi_10280|roi_10281|roi_10286|roi_10296|roi_10305|roi_10315|roi_10338|roi_10348|roi_10349|roi_10360|roi_10372|roi_10381|roi_10417|roi_10485|roi_10499|roi_10514|roi_10529|roi_10561|roi_10626|roi_10645|roi_10649|roi_10667|roi_10708|roi_10717|roi_10719|roi_10725|roi_10728|roi_10780|roi_10786|roi_10798|roi_10824|roi_10849|roi_10865|roi_11024|roi_11027|roi_11037|roi_11046|roi_11094|roi_11099|roi_11248|roi_11267|roi_11325
0,roi_backup,truck,227,roi_70|roi_78|roi_86|roi_92|roi_97|roi_98|roi_115|roi_142|roi_145|roi_160|roi_165|roi_190|roi_208|roi_221|roi_274|roi_700|roi_769|roi_788|roi_789|roi_803|roi_807|roi_829|roi_887|roi_915|roi_920|roi_930|roi_936|roi_1041|roi_1049|roi_1050|roi_1062|roi_1351|roi_1479|roi_1591|roi_1649|roi_1786|roi_1796|roi_1809|roi_2007|roi_2301|roi_2487|roi_2493|roi_2495|roi_2502|roi_2513|roi_2578|roi_2584|roi_2617|roi_2637|roi_2652|roi_2654|roi_2659|roi_2719|roi_2741|roi_2744|roi_2753|roi_2764|roi_2782|roi_2832|roi_2928|roi_2945|roi_2966|roi_2985|roi_2997|roi_3013|roi_3057|roi_3070|roi_3081|roi_3086|roi_3097|roi_3138|roi_3139|roi_3144|roi_3166|roi_3169|roi_3177|roi_3215|roi_3234|roi_3276|roi_3301|roi_3325|roi_3363|roi_3543|roi_3598|roi_3607|roi_3810|roi_3872|roi_3885|roi_4005|roi_4164|roi_4168|roi_4222|roi_4259|roi_4261|roi_4303|roi_4312|roi_4321|roi_4325|roi_4338|roi_4350|roi_4425|roi_4543|roi_4625|roi_4652|roi_4724|roi_4736|roi_4752|roi_4769|roi_4777|roi_4849|roi_4857|roi_4870|roi_4882|roi_4956|roi_4961|roi_5039|roi_5120|roi_5135|roi_5157|roi_5219|roi_5226|roi_5250|roi_5263|roi_5345|roi_5448|roi_5526|roi_5548|roi_5560|roi_5706|roi_5721|roi_5724|roi_5798|roi_5840|roi_5876|roi_5933|roi_5957|roi_5958|roi_5997|roi_6013|roi_6021|roi_6023|roi_6051|roi_6079|roi_6147|roi_6345|roi_6404|roi_6468|roi_6472|roi_6514|roi_6520|roi_6521|roi_6525|roi_6531|roi_6535|roi_6540|roi_6584|roi_6609|roi_6825|roi_6891|roi_6905|roi_6910|roi_6978|roi_6982|roi_7182|roi_7199|roi_7229|roi_7246|roi_7510|roi_7524|roi_7533|roi_7584|roi_7590|roi_7623|roi_7629|roi_7696|roi_7707|roi_7731|roi_7821|roi_7823|roi_7960|roi_8200|roi_8214|roi_8217|roi_8363|roi_8479|roi_8485|roi_8741|roi_8773|roi_8799|roi_8804|roi_8809|roi_8811|roi_8851|roi_8918|roi_8947|roi_9099|roi_9134|roi_9150|roi_9337|roi_9538|roi_9596|roi_9629|roi_9662|roi_9665|roi_9667|roi_9687|roi_9727|roi_9735|roi_9875|roi_9898|roi_10515|roi_10531|roi_10549|roi_10565|roi_10585|roi_10606|roi_10636|roi_10652|roi_10683|roi_10739|roi_10767|roi_10806|roi_10826|roi_10843|roi_10907|roi_11095|roi_11304
1,main,car,36,197|1706|1740|4322|4381|5291|5307|5320|5356|7009|7221|8049|8063|8066|8084|8093|9786|10436|10452|10465|10476|10509|10530|11679|12796|12817|12820|12878|14279|14569|15245|15253|15258|15278|15280|15292
1,main,truck,2,10395|12864
2,main,car,26,1701|1741|4358|5164|5252|5297|5321|5388|5406|8046|8064|8076|8088|8110|10374|10408|10455|10520|11938|12810|12818|12831|14487|15238|15281|15286
3,main,car,1,1820
3,main,truck,2,8085|12867
4,main,bus,5,6434|8488|11030|13012|13107
